date,time,line_short_code,headsign,freq_in_sec
1-Dec-22,06:00:01,AGL,to Sentul Timur,480
1-Dec-22,06:00:01,AGL,to Ampang,480
1-Dec-22,06:00:01,KGL,to Kajang,465
1-Dec-22,06:00:01,KGL,to Kwasa Damansara,465
1-Dec-22,06:00:01,KJL,to Gombak,390
1-Dec-22,06:00:01,KJL,to Putra Heights,390
1-Dec-22,06:00:01,MRL,to Titiwangsa,300
1-Dec-22,06:00:01,MRL,to KL Sentral,300
1-Dec-22,06:00:01,SPL,to Sentul Timur,240
1-Dec-22,06:00:01,SPL,to Putra Heights,240
1-Dec-22,06:00:02,PYL,to Putrajaya,420
1-Dec-22,06:00:02,PYL,to Kwasa Damansara,420
1-Dec-22,06:00:02,AGL,to Sentul Timur,480
1-Dec-22,06:00:02,AGL,to Ampang,480
1-Dec-22,06:00:02,KGL,to Kajang,465
1-Dec-22,06:00:02,KGL,to Kwasa Damansara,465
1-Dec-22,06:00:02,KJL,to Gombak,390
1-Dec-22,06:00:02,KJL,to Putra Heights,390
1-Dec-22,06:00:02,MRL,to Titiwangsa,300
1-Dec-22,06:00:02,MRL,to KL Sentral,300
1-Dec-22,06:00:03,SPL,to Sentul Timur,240
1-Dec-22,06:00:03,SPL,to Putra Heights,240
1-Dec-22,06:00:03,PYL,to Putrajaya,420
1-Dec-22,06:00:03,PYL,to Kwasa Damansara,420
1-Dec-22,06:05:01,AGL,to Sentul Timur,480
1-Dec-22,06:05:01,AGL,to Ampang,480
1-Dec-22,06:05:01,KGL,to Kajang,465
1-Dec-22,06:05:01,KGL,to Kwasa Damansara,465
1-Dec-22,06:05:01,KJL,to Gombak,390
1-Dec-22,06:05:01,KJL,to Putra Heights,390
1-Dec-22,06:05:01,MRL,to Titiwangsa,300
1-Dec-22,06:05:01,MRL,to KL Sentral,300
1-Dec-22,06:05:02,SPL,to Sentul Timur,240
1-Dec-22,06:05:02,SPL,to Putra Heights,240
1-Dec-22,06:05:02,PYL,to Putrajaya,420
1-Dec-22,06:05:02,PYL,to Kwasa Damansara,420
1-Dec-22,06:05:02,AGL,to Sentul Timur,480
1-Dec-22,06:05:02,AGL,to Ampang,480
1-Dec-22,06:05:02,KGL,to Kajang,465
1-Dec-22,06:05:03,KGL,to Kwasa Damansara,465
1-Dec-22,06:05:03,KJL,to Gombak,390
1-Dec-22,06:05:03,KJL,to Putra Heights,390
1-Dec-22,06:05:03,MRL,to Titiwangsa,300
1-Dec-22,06:05:03,MRL,to KL Sentral,300
1-Dec-22,06:05:03,SPL,to Sentul Timur,240
1-Dec-22,06:05:03,SPL,to Putra Heights,240
1-Dec-22,06:05:03,PYL,to Putrajaya,420
1-Dec-22,06:05:03,PYL,to Kwasa Damansara,420
1-Dec-22,06:10:01,AGL,to Sentul Timur,480
1-Dec-22,06:10:01,AGL,to Ampang,480
1-Dec-22,06:10:01,KGL,to Kajang,465
1-Dec-22,06:10:01,KGL,to Kwasa Damansara,465
1-Dec-22,06:10:01,KJL,to Gombak,390
1-Dec-22,06:10:01,KJL,to Putra Heights,390
1-Dec-22,06:10:01,MRL,to Titiwangsa,300
1-Dec-22,06:10:02,MRL,to KL Sentral,300
1-Dec-22,06:10:02,SPL,to Sentul Timur,240
1-Dec-22,06:10:02,SPL,to Putra Heights,240
1-Dec-22,06:10:02,PYL,to Putrajaya,420
1-Dec-22,06:10:02,PYL,to Kwasa Damansara,420
1-Dec-22,06:10:02,AGL,to Sentul Timur,480
1-Dec-22,06:10:02,AGL,to Ampang,480
1-Dec-22,06:10:02,KGL,to Kajang,465
1-Dec-22,06:10:02,KGL,to Kwasa Damansara,465
1-Dec-22,06:10:02,KJL,to Gombak,390
1-Dec-22,06:10:02,KJL,to Putra Heights,390
1-Dec-22,06:10:03,MRL,to Titiwangsa,300
1-Dec-22,06:10:03,MRL,to KL Sentral,300
1-Dec-22,06:10:03,SPL,to Sentul Timur,240
1-Dec-22,06:10:03,SPL,to Putra Heights,240
1-Dec-22,06:10:03,PYL,to Putrajaya,420
1-Dec-22,06:10:03,PYL,to Kwasa Damansara,420
1-Dec-22,06:15:02,AGL,to Sentul Timur,480
1-Dec-22,06:15:02,AGL,to Ampang,480
1-Dec-22,06:15:02,KGL,to Kajang,465
1-Dec-22,06:15:02,KGL,to Kwasa Damansara,465
1-Dec-22,06:15:02,KJL,to Gombak,390
1-Dec-22,06:15:02,KJL,to Putra Heights,390
1-Dec-22,06:15:02,MRL,to Titiwangsa,300
1-Dec-22,06:15:02,MRL,to KL Sentral,300
1-Dec-22,06:15:02,SPL,to Sentul Timur,240
1-Dec-22,06:15:02,SPL,to Putra Heights,240
1-Dec-22,06:15:02,PYL,to Putrajaya,420
1-Dec-22,06:15:02,PYL,to Kwasa Damansara,420
1-Dec-22,06:15:03,AGL,to Sentul Timur,480
1-Dec-22,06:15:03,AGL,to Ampang,480
1-Dec-22,06:15:03,KGL,to Kajang,465
1-Dec-22,06:15:03,KGL,to Kwasa Damansara,465
1-Dec-22,06:15:03,KJL,to Gombak,390
1-Dec-22,06:15:03,KJL,to Putra Heights,390
1-Dec-22,06:15:03,MRL,to Titiwangsa,300
1-Dec-22,06:15:03,MRL,to KL Sentral,300
1-Dec-22,06:15:03,SPL,to Sentul Timur,240
1-Dec-22,06:15:03,SPL,to Putra Heights,240
1-Dec-22,06:15:04,PYL,to Putrajaya,420
1-Dec-22,06:15:04,PYL,to Kwasa Damansara,420
1-Dec-22,06:20:01,AGL,to Sentul Timur,480
1-Dec-22,06:20:01,AGL,to Ampang,480
1-Dec-22,06:20:01,KGL,to Kajang,465
1-Dec-22,06:20:01,KGL,to Kwasa Damansara,465
1-Dec-22,06:20:01,KJL,to Gombak,390
1-Dec-22,06:20:02,KJL,to Putra Heights,390
1-Dec-22,06:20:02,MRL,to Titiwangsa,300
1-Dec-22,06:20:02,MRL,to KL Sentral,300
1-Dec-22,06:20:02,SPL,to Sentul Timur,240
1-Dec-22,06:20:02,SPL,to Putra Heights,240
1-Dec-22,06:20:02,PYL,to Putrajaya,420
1-Dec-22,06:20:02,PYL,to Kwasa Damansara,420
1-Dec-22,06:20:02,AGL,to Sentul Timur,480
1-Dec-22,06:20:02,AGL,to Ampang,480
1-Dec-22,06:20:02,KGL,to Kajang,465
1-Dec-22,06:20:02,KGL,to Kwasa Damansara,465
1-Dec-22,06:20:03,KJL,to Gombak,390
1-Dec-22,06:20:03,KJL,to Putra Heights,390
1-Dec-22,06:20:03,MRL,to Titiwangsa,300
1-Dec-22,06:20:03,MRL,to KL Sentral,300
1-Dec-22,06:20:03,SPL,to Sentul Timur,240
